1	0.000
2	0.000
3	0.000
4	0.000
5	0.000
6	0.000
7	0.000
8	0.000
9	0.000
10	0.000
11	0.222
12	0.658
13	0.001
14	0.000
15	0.000
16	0.000
17	0.000
18	0.000
19	0.000
20	0.000
21	0.000
22	0.000
23	0.000
24	0.000
25	0.000
26	0.000
27	0.000
28	0.000
29	0.000
30	0.000
31	0.000
32	0.000
33	0.001
34	0.000
35	0.794
36	1.208
37	0.000
38	0.000
39	0.000
40	0.000
41	0.000
42	1.249
43	0.000
44	0.000
45	0.000
46	0.000
47	0.000
48	0.000
49	0.000
50	0.000
51	0.000
52	0.595
53	0.011
54	1.791
55	1.795
56	0.000
57	0.000
58	0.000
59	0.000
60	0.000
61	0.000
62	0.000
63	1.926
64	0.000
65	0.000
66	0.000
67	0.000
68	0.000
69	0.000
70	0.000
71	0.000
72	0.000
73	0.000
74	0.000
75	0.000
76	0.000
77	0.000
78	0.000
79	0.000
80	0.000
81	0.000
82	0.000
83	0.000
84	0.000
85	0.000
86	0.000
87	0.000
88	0.000
89	0.007
90	0.000
91	0.000
92	0.000
93	0.000
94	0.000
95	1.899
96	0.000
97	0.000
98	0.000
99	0.000
100	0.016
101	1.417
102	0.000
103	0.000
104	0.000
105	0.000
106	0.000
107	1.562
108	0.000
109	0.000
110	0.000
111	0.000
112	0.000
113	0.000
114	0.000
115	0.000
116	0.000
117	0.000
118	0.000
119	0.000
120	0.000
121	0.000
122	0.000
123	0.000
124	0.000
125	0.000
126	0.000
127	0.000
128	2.011
129	1.138
130	0.257
131	0.000
132	0.000
133	0.000
134	0.003
135	0.000
136	0.077
137	0.000
138	0.000
139	0.002
140	0.000
141	0.000
142	0.000
143	0.000
144	1.172
145	0.000
146	0.000
147	0.000
148	0.000
149	0.001
150	1.236
151	0.000
152	0.000
153	0.000
154	0.000
155	0.000
156	0.000
157	0.001
158	1.236
159	0.000
160	0.000
161	0.000
162	0.000
163	0.000
164	0.000
165	0.000
166	0.000
167	0.000
168	0.000
169	0.000
170	1.128
171	0.726
172	0.000
173	1.906
174	0.022
175	1.409
176	0.000
177	0.285
178	0.000
